sp	matK	rbcL	ndhF	trnL-F	ITS	Concatenated_phylogeny
2764@Byrsonima	3955@Byrsonima	2711@Byrsonima	2700@Byrsonima	FAIL	FAIL	T
1089@Triaspis	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1102@Acridocarpus	69@Acridocarpus	69@Acridocarpus	69@Acridocarpus	69@Acridocarpus	2650@Acridocarpus	T
1162@Camarea	FAIL	FAIL	FAIL	FAIL	3594@Camarea	T
1165@Dicella	FAIL	FAIL	FAIL	FAIL	3600@Dicella	T
1174@Triaspis	3122@Triaspis	3122@Triaspis	3122@Triaspis	4004@Triaspis	3122@Triaspis	T
1176@Triaspis	3122@Triaspis	4004@Triaspis	4004@Triaspis	FAIL	4004@Triaspis	T
1182@Tristellateia	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1240@Diplopterys	FAIL	FAIL	FAIL	FAIL	3527@Banisteriopsis	T
1285@Aspidopterys	3341@Aspidopterys	1936@Mascagnia	4004@Triaspis	FAIL	3342@Aspidopterys	T
1314@Hiptage	2657@Hiptage	2657@Hiptage	3375@Hiptage	FAIL	FAIL	T
1324@Microsteira	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1382@Microsteira	1324@Microsteira	1661@Microsteira	1386@Microsteira	FAIL	270@Microsteira	T
1386@Microsteira	1382@Microsteira	1661@Microsteira	1661@Microsteira	1661@Microsteira	1382@Microsteira	T
1502@Tristellateia	3121@Tristellateia	3121@Tristellateia	3121@Tristellateia	3121@Tristellateia	3121@Tristellateia	T
1503@Hiptage	2657@Hiptage	1314@Hiptage	2657@Hiptage	FAIL	FAIL	T
1525@Christianella	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1531@Amorimia	3518@Amorimia	1534@Amorimia	3338@Amorimia	FAIL	3518@Amorimia	T
1534@Amorimia	3518@Amorimia	1531@Amorimia	3518@Amorimia	FAIL	3518@Amorimia	T
1538@Carolus	644@Carolus	1702@Callaeum	1703@Callaeum	FAIL	1590@Carolus	T
1543@Carolus	1503@Hiptage	1503@Hiptage	1503@Hiptage	1503@Hiptage	FAIL	T
1556@Malpighia	3234@Malpighia	3230@Malpighia	3234@Malpighia	3386@Malpighia	3230@Malpighia	T
1570@Malpighiodes	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1582@Galphimia	2207@Galphimia	2207@Galphimia	2207@Galphimia	1717@Galphimia	FAIL	T
1590@Carolus	FAIL	FAIL	FAIL	FAIL	644@Carolus	T
1610@Malpighiodes	FAIL	FAIL	FAIL	FAIL	1570@Malpighiodes	T
1653@Galphimia	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1661@Microsteira	1386@Microsteira	1382@Microsteira	1386@Microsteira	1386@Microsteira	1382@Microsteira	T
1676@Aspicarpa	1678@Aspicarpa	618@Aspicarpa	746@Aspicarpa	1678@Aspicarpa	618@Aspicarpa	T
1677@Aspicarpa	1678@Aspicarpa	1678@Aspicarpa	746@Aspicarpa	1678@Aspicarpa	1678@Aspicarpa	T
1678@Aspicarpa	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1679@Callaeum	2100@Callaeum	1702@Callaeum	1702@Callaeum	1703@Callaeum	1702@Callaeum	T
168@Acridocarpus	1102@Acridocarpus	3211@Acridocarpus	170@Acridocarpus	3211@Acridocarpus	2650@Acridocarpus	T
1699@Callaeum	2100@Callaeum	2100@Callaeum	2100@Callaeum	1702@Callaeum	1702@Callaeum	T
170@Acridocarpus	1102@Acridocarpus	69@Acridocarpus	2650@Acridocarpus	69@Acridocarpus	2650@Acridocarpus	T
1702@Callaeum	2100@Callaeum	1679@Callaeum	1699@Callaeum	FAIL	1699@Callaeum	T
1703@Callaeum	FAIL	FAIL	FAIL	FAIL	1702@Callaeum	T
1705@Dicella	FAIL	777@Christianella	FAIL	FAIL	3600@Dicella	T
1716@Dicella	FAIL	FAIL	FAIL	FAIL	1705@Dicella	T
1717@Galphimia	2647@Galphimia	2985@Heteropterys	2647@Galphimia	C-86	FAIL	T
1739@Thryallis	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
174@Triaspis	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1740@Thryallis	1739@Thryallis	679@Bunchosia	1739@Thryallis	FAIL	3729@Thryallis	T
176@Acridocarpus	3211@Acridocarpus	69@Acridocarpus	3211@Acridocarpus	3211@Acridocarpus	2650@Acridocarpus	T
1770@Bunchosia	679@Bunchosia	2831@Bunchosia	679@Bunchosia	FAIL	1774@Bunchosia	T
1774@Bunchosia	1770@Bunchosia	1770@Bunchosia	1770@Bunchosia	FAIL	1770@Bunchosia	T
1845@Bronwenia	1860@Bronwenia	1860@Bronwenia	706@Cottsia	FAIL	1860@Bronwenia	T
1850@Banisteriopsis	3536@Banisteriopsis	3536@Banisteriopsis	2960@Banisteriopsis	3536@Banisteriopsis	2960@Banisteriopsis	T
1853@Bronwenia	1845@Bronwenia	1860@Bronwenia	S-8	FAIL	1860@Bronwenia	T
1860@Bronwenia	FAIL	FAIL	FAIL	FAIL	1853@Bronwenia	T
1874@Banisteriopsis	1850@Banisteriopsis	3536@Banisteriopsis	3536@Banisteriopsis	FAIL	1946@Banisteriopsis	T
1877@Bronwenia	FAIL	FAIL	FAIL	FAIL	1944@Bronwenia	T
